: capital-country
Мәскәү	Русия
Әнкара	Төркия
Париж	Франция
Рим	Италия
Токио	Япония
Тбилиси	Грузия
Копенһаген	Дания
Һелсинки	Финляндия
Бишкәк	Кыргызстан
Прага	Чехия
Димәшкъ	Сүрия
Каһирә	Мисыр
Мадрид	Испания
Лондон	Бөекбритания
Стокгольм	Швеция
Вена	Австрия
Берлин	Алмания
Берн	Швейцария
Белград	Сербия
София	Болгария
Афина	Греция
Рига	Латвия
Брюссель	Бельгия
Куала-лумпур	Малайзия
Бухарест	Румыния
Ереван	Әрмәнстан
Осло	Норвегия
Амстердам	Голландия
Таллинн	Эстония
Ашхабад	Төрекмәнстан
Лиссабон	Португалия
Триполи	Ливия
Будапешт	Маҗарстан
Минск	Беларусь
Багдад	Гыйрак
Бангкок	Таиланд
Пекин	Кытай
Исламабад	Пакистан
Тәһран	Иран
Астана	Казакъстан
Баку	Азәрбайҗан
Дүшәнбе	Таҗикстан
Киев	Украина
Вильнюс	Литва
Ташкент	Үзбәкстан
Варшава	Польша
Бәйрут	Ливан
Дакар	Сенегал
Лима	Перу
Сантьяго	Чили
Приштина	Косово
: country-currency
Русия	рубль
Төркия	лира
Кытай	юань
Украина	гривна
Аурупа	евро
АКШ	доллар
Кыргызстан	сом
Бөекбритания	фунт
Швейцария	франк
Бразилия	реал
Канада	доллар
: capital-republic_rf
Казан	Татарстан
Уфа	Башкортстан
Майкоп	Адыгея
Махачкала	Дагстан
Нальчик	Кабардино-балкария
Элиста	Калмыкия
Петрозаводск	Карелия
Сыктывкар	Коми
Саранск	Мордовия
Якутск	Якутия
Ижау	Удмуртия
Абакан	Хакасия
Грозный	Чечня
Чабаксар	Чуашстан
: man-woman
абый	апа
абзый	апай
эне	сеңел
энекәш	сеңелкәш
әти	әни
ата	ана
әткәй	әнкәй
бабай	әби
кияү	килен
ир	хатын
патша	патшабикә
улы	кызы
егет	кыз
кода	кодагый
каената	каенана
баҗа	балдыз
җизни	җиңги
картәти	картәни
малай	кыз
әфәнде	ханым
хәзрәт	абыстай
шагыйрь	шагыйрә
мөгаллим	мөгаллимә
әдип	әдибә
би	бичә
би	бикә
бай	байбикә
: adj-antonym
җылы	суык
озын	кыска
киң	тар
зур	кечкенә
яхшы	яман
акыллы	юләр
туры	кыек
куе	сыек
батыр	куркак
якты	караңгы
чиста	пычрак
юмарт	саран
бай	ярлы
дөрес	ялган
җиңел	авыр
якын	ерак
нечкә	юан
артык	ким
югары	түбән
уң	сул
тиз	озак
аяз	болытлы
сай	тирән
юеш	коры
аек	исерек
азат	бәйле
бергә	аерым
акыллы	тиле
алгы	арткы
ансат	кыен
арзан	кыйбат
ачы	баллы
әдәпле	дорфа
беренче	соңгы
бертөрле	күптөрле
тулы	буш
эре	вак
вакытлы	даими
гади	катлаулы
еш	сирәк
яңа	иске
йомшак	каты
кайнар	салкын
яшь	карт
кече	олы
күңелле	моңсу
матур	ямьсез
пешкән	чи
риза	каршы
туган	чит
: noun-antonym
керү	чыгу
дус	дошман
күпчелек	азчылык
ачу	ябу
көн	төн
иртә	кич
туу	үлү
арту	кимү
яндыру	сүндерү
яшәү	үлем
тынычлык	сугыш
кушылу	аерылу
азатлык	коллык
башлану	бетү
бәйрәм	матәм
бәхет	кайгы
төзү	вату
галим	надан
дан	хурлык
рәхәт	җәфа
җиңү	җиңелү
көлү	елау
җыелу	таралу
файда	зыян
игелек	начарлык
китү	кайту
керем	чыгым
кию	салу
көнбатыш	көнчыгыш
көньяк	төньяк
куаныч	хәсрәт
күтәрү	төшерү
кыюлык	куркаклык
мактау	хурлау
мәхәббәт	нәфрәт
менү	төшү
муллык	мохтаҗлык
яхшылык	начарлык
оҗмах	тәмуг
өстенлек	кимчелек
табыш	югалту
төзү	җимерү
көндез	төнлә
тынлык	шау-шу
тышлык	эчлек
фәрештә	шайтан
хуплау	хурлау
чәчү	уру
шатлану	борчылу
эш	ял
: name-occupation
Тукай	шагыйрь
Шәймиев	президент
Миңнеханов	президент
Толстой	язучы
Фукс	галим
Нуриев	биюче
Урманче	рәссам
Камал	драматург
Бутлеров	галим
Сәйдәшев	композитор
Шаляпин	җырчы
Мәрҗани	мәгърифәтче
Фешин	рәссам
Җәлил	шагыйрь
Аксенов	язучы
Горький	язучы
Яхин	композитор
Исхакый	язучы
Хаматова	актриса
Әпсәләмов	язучы
Гыйләҗев	язучы
Билалетдинов	тренер
Бердыев	тренер
Фәхреддин	галим
Арбузов	галим
Лобачевский	галим
Садыйкова	композитор
Кутуй	язучы
Сыртланова	очучы
Гаспралы	сәясәтче
Тинчурин	драматург
Насыйри	галим
Сәлимҗанов	режиссер
Худяков	тарихчы
Атласи	тарихчы
Такташ	шагыйрь
Шакиров	җырчы
Авзалова	җырчы
Бикчәнтәев	режиссер
Фәтхетдинов	җырчы
: gram1-comparative
яхшы	яхшырак
аз	азрак
зур	зуррак
нык	ныграк
югары	югарырак
тулы	тулырак
еш	ешрак
якын	якынрак
авыр	авыррак
озак	озаграк
матур	матуррак
каты	катырак
олы	олырак
катлаулы	катлаулырак
яңа	яңарак
отышлы	отышлырак
кулай	кулайрак
уңайлы	уңайлырак
ерак	ераграк
начар	начаррак
файдалы	файдалырак
игътибарлы	игътибарлырак
кыен	кыенрак
куркыныч	куркынычрак
озын	озынрак
күп	күбрәк
тиз	тизрәк
ким	кимрәк
җиңел	җиңелрәк
киң	киңрәк
көчле	көчлерәк
кече	кечерәк
түбән	түбәнрәк
әз	әзрәк
тирән	тирәнрәк
өлкән	өлкәнрәк
төгәл	төгәлрәк
хәерле	хәерлерәк
нәтиҗәле	нәтиҗәлерәк
кыйммәт	кыйммәтрәк
әйбәт	әйбәтрәк
дөрес	дөресрәк
мөһим	мөһимрәк
күңелле	күңеллерәк
кадерле	кадерлерәк
җитди	җитдирәк
сирәк	сирәгрәк
тәмле	тәмлерәк
сәер	сәеррәк
гади	гадирәк
: gram2-superlative
ак	ап-ак
кара	кап-кара
яшел	ямь-яшел
сары	сап-сары
кызыл	кып-кызыл
зәңгәр	зәп-зәңгәр
чиста	чип-чиста
түгәрәк	түп-түгәрәк
салкын	сап-салкын
якты	яп-якты
караңгы	кап-караңгы
яңа	өр-яңа
гади	гап-гади
туры	туп-туры
яшь	япь-яшь
ачык	ап-ачык
төгәл	төп-төгәл
ялгыз	япа-ялгыз
тигез	тип-тигез
буш	буп-буш
кечкенә	кеп-кечкенә
шәрә	шәп-шәрә
тулы	туп-тулы
таза	тап-таза
тыныч	тып-тыныч
зур	зуп-зур
кайнар	кап-кайнар
дөрес	дөп-дөрес
җылы	җып-җылы
коры	коп-коры
: gram3-opposite
тәмле	тәмсез
ямьле	ямьсез
әдәпле	әдәпсез
әхлаклы	әхлаксыз
балалы	баласыз
башлы	башсыз
бәхетле	бәхетсез
билгеле	билгесез
булдыклы	булдыксыз
гаепле	гаепсез
динле	динсез
җайлы	җайсыз
җанлы	җансыз
җилле	җилсез
файдалы	файдасыз
көчсез	көчле
игелекле	игелексез
игътибарлы	игътибарсыз
затлы	затсыз
ирекле	ирексез
ихтыярлы	ихтыярсыз
канатлы	канатсыз
исле	иссез
кирәкле	кирәксез
күңелле	күңелсез
намуслы	намуссыз
очлы	очсыз
парлы	парсыз
санлы	сансыз
сәләтле	сәләтсез
сөтле	сөтсез
тәртипле	тәртипсез
телле	телсез
төсле	төссез
түләүле	түләүсез
хаклы	хаксыз
хәерле	хәерсез
чикле	чиксез
ышанычлы	ышанычсыз
эшле	эшсез
юньле	юньсез
эшлекле	эшлексез
һөнәрле	һөнәрсез
тәрбияле	тәрбиясез
исемле	исемсез
: gram4-plural_nouns
кеше	кешеләр
мәктәп	мәктәпләр
тел	телләр
йорт	йортлар
дәүләт	дәүләтләр
тормыш	тормышлар
хәл	хәлләр
бәйрәм	бәйрәмнәр
оешма	оешмалар
төбәк	төбәкләр
максат	максатлар
очрашу	очрашулар
апа	апалар
нигез	нигезләр
кунак	кунаклар
сәбәп	сәбәпләр
хәбәр	хәбәрләр
сыйфат	сыйфатлар
урман	урманнар
үзгәреш	үзгәрешләр
ишек	ишекләр
бүлмә	бүлмәләр
бакча	бакчалар
бабай	бабайлар
сер	серләр
тәкъдим	тәкъдимнәр
кәгазь	кәгазьләр
иптәш	иптәшләр
яңгыр	яңгырлар
дошман	дошманнар
вәгъдә	вәгъдәләр
мизгел	мизгелләр
кабер	каберләр
диңгез	диңгезләр
почмак	почмаклар
тамаша	тамашалар
дулкын	дулкыннар
тамчы	тамчылар
болын	болыннар
тишек	тишекләр
чана	чаналар
бармак	бармаклар
урындык	урындыклар
энә	энәләр
аксакал	аксакаллар
сөлге	сөлгеләр
тырнак	тырнаклар
киштә	киштәләр
әйтем	әйтемнәр
замандаш	замандашлар
: gram5-plural_pronouns
мин	без
син	сез
ул	алар
бу	болар
кем	кемнәр
шул	шулар
теге	тегеләр
нинди	ниндиләр
ни	ниләр
шушы	шушылар
: gram6-cases_possessive
мин	минем
син	синең
ул	аның
без	безнең
сез	сезнең
алар	аларның
китап	китапның
халык	халыкның
фикер	фикернең
сугыш	сугышның
әдәбият	әдәбиятның
утырыш	утырышның
гасыр	гасырның
чират	чиратның
бүлмә	бүлмәнең
караш	карашның
өстәл	өстәлнең
кыш	кышның
күренеш	күренешнең
байлык	байлыкның
җәмгыять	җәмгыятьнең
яшьлек	яшьлекнең
капка	капканың
күпер	күпернең
хыял	хыялның
җыелыш	җыелышның
әңгәмә	әңгәмәнең
челтәр	челтәрнең
сарай	сарайның
җил	җилнең
: gram7-cases_dative
мин	миңа
син	сиңа
ул	аңа
без	безгә
сез	сезгә
алар	аларга
китап	китапка
халык	халыкка
фикер	фикергә
сугыш	сугышка
әдәбият	әдәбиятка
утырыш	утырышка
гасыр	гасырга
чират	чиратка
бүлмә	бүлмәгә
караш	карашка
өстәл	өстәлгә
кыш	кышка
күренеш	күренешкә
байлык	байлыкка
җәмгыять	җәмгыятькә
яшьлек	яшьлеккә
капка	капкага
күпер	күпергә
хыял	хыялга
җыелыш	җыелышка
әңгәмә	әңгәмәгә
челтәр	челтәргә
сарай	сарайга
җил	җилгә
: gram8-cases_accusative
мин	мине
син	сине
ул	аны
без	безне
сез	сезне
алар	аларны
китап	китапны
халык	халыкны
фикер	фикерне
сугыш	сугышны
әдәбият	әдәбиятны
утырыш	утырышны
гасыр	гасырны
чират	чиратны
бүлмә	бүлмәне
караш	карашны
өстәл	өстәлне
кыш	кышны
күренеш	күренешне
байлык	байлыкны
җәмгыять	җәмгыятьне
яшьлек	яшьлекне
капка	капканы
күпер	күперне
хыял	хыялны
җыелыш	җыелышны
әңгәмә	әңгәмәне
челтәр	челтәрне
сарай	сарайны
җил	җилне
: gram9-cases_ablative
мин	миннән
син	синнән
ул	аннан
без	бездән
сез	сездән
алар	алардан
китап	китаптан
халык	халыктан
